# ASDC Cosmic rays database, created 2021-05-22 00:46:39
#Filename ; Particle ; Mission ; Reference ; Start Date ; Stop Date ; Notes
pos_ele_AMS_PRL2018_ekin_025.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=28.7 ; kinetic_energy_max=30.2
pos_ele_AMS_PRL2018_ekin_026.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=3.0 ; kinetic_energy_max=3.36
pos_ele_AMS_PRL2018_ekin_027.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=3.36 ; kinetic_energy_max=3.73
pos_ele_AMS_PRL2018_ekin_028.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=3.73 ; kinetic_energy_max=4.12
pos_ele_AMS_PRL2018_ekin_029.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=30.2 ; kinetic_energy_max=31.8
pos_ele_AMS_PRL2018_ekin_030.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=31.8 ; kinetic_energy_max=33.5
pos_ele_AMS_PRL2018_ekin_031.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=33.5 ; kinetic_energy_max=35.4
pos_ele_AMS_PRL2018_ekin_032.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=35.4 ; kinetic_energy_max=37.3
pos_ele_AMS_PRL2018_ekin_033.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=37.3 ; kinetic_energy_max=39.4
pos_ele_AMS_PRL2018_ekin_034.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=39.4 ; kinetic_energy_max=41.6
pos_ele_AMS_PRL2018_ekin_035.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=4.12 ; kinetic_energy_max=4.54
pos_ele_AMS_PRL2018_ekin_036.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=4.54 ; kinetic_energy_max=5.0
pos_ele_AMS_PRL2018_ekin_037.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=41.6 ; kinetic_energy_max=44.0
pos_ele_AMS_PRL2018_ekin_038.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=44.0 ; kinetic_energy_max=46.6
pos_ele_AMS_PRL2018_ekin_039.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=46.6 ; kinetic_energy_max=49.3
pos_ele_AMS_PRL2018_ekin_040.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=5.0 ; kinetic_energy_max=5.49
pos_ele_AMS_PRL2018_ekin_041.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=5.49 ; kinetic_energy_max=6.0
pos_ele_AMS_PRL2018_ekin_042.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=6.0 ; kinetic_energy_max=6.54
pos_ele_AMS_PRL2018_ekin_043.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=6.54 ; kinetic_energy_max=7.1
pos_ele_AMS_PRL2018_ekin_044.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=7.1 ; kinetic_energy_max=7.69
pos_ele_AMS_PRL2018_ekin_045.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=7.69 ; kinetic_energy_max=8.3
pos_ele_AMS_PRL2018_ekin_046.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=8.3 ; kinetic_energy_max=8.95
pos_ele_AMS_PRL2018_ekin_047.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=8.95 ; kinetic_energy_max=9.62
pos_ele_AMS_PRL2018_ekin_048.xml ; e+/e- ; AMS-02 ; PRL 121 (2018) 051102 ; 2017-04-13T00:00:00 ; 2017-05-09T23:59:59 ;  ; Time__kinetic_energy_min=9.62 ; kinetic_energy_max=10.3
